"Data";"Hora (UTC)";"Temp. [Hora] (C)";"Umi. (%)";"Pressao (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Nebulosidade (Decimos)";"Insolacao (h)";"Temp. Max. [Diaria] (h)";"Temp. Min. [Diaria] (h)";"Chuva [Diaria] (mm)"
"25/02/2021";"0000";"23,9";"73,0";"949,2";"3,0";"140,0";"7,0";"9,20";"32,7";"";""
"25/02/2021";"1200";"24,9";"74,0";"950,2";"1,0";"50,0";"2,0";"";"";"19,7";"5,8"
"25/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"26/02/2021";"0000";"24,7";"73,0";"947,1";"1,0";"140,0";"2,0";"9,50";"32,4";"";""
"26/02/2021";"1200";"23,4";"72,0";"950,0";"3,0";"90,0";"6,0";"";"";"21,1";"0,0"
"26/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"27/02/2021";"0000";"27,1";"56,0";"949,4";"3,0";"50,0";"7,0";"9,20";"31,2";"";""
"27/02/2021";"1200";"25,4";"62,0";"951,8";"2,0";"140,0";"2,0";"";"";"20,0";"0,0"
"27/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"28/02/2021";"0000";"23,9";"77,0";"949,6";"3,0";"140,0";"6,0";"7,40";"30,0";"";""
"28/02/2021";"1200";"23,8";"72,0";"951,1";"3,0";"90,0";"10,0";"";"";"19,8";"0,0"
"28/02/2021";"1800";"";"";"";"";"";"";"";"";"";""
"01/03/2021";"0000";"23,7";"78,0";"949,5";"4,0";"50,0";"3,0";"7,00";"31,2";"";""
"01/03/2021";"1200";"24,8";"70,0";"950,3";"3,0";"50,0";"6,0";"";"";"19,8";"2,7"
"01/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"02/03/2021";"0000";"21,7";"92,0";"949,6";"2,0";"90,0";"10,0";"3,60";"31,0";"";""
"02/03/2021";"1200";"22,5";"85,0";"951,2";"1,0";"50,0";"6,0";"";"";"19,3";"17,6"
"02/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"03/03/2021";"0000";"22,3";"86,0";"951,9";"4,0";"50,0";"7,0";"4,80";"30,4";"";""
"03/03/2021";"1200";"22,8";"84,0";"953,5";"1,0";"50,0";"9,0";"";"";"19,8";"21,7"
"03/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
"04/03/2021";"0000";"24,5";"84,0";"951,1";"3,0";"90,0";"9,0";"0,00";"24,7";"";""
"04/03/2021";"1200";"21,5";"97,0";"951,8";"2,0";"320,0";"10,0";"";"";"19,4";"10,2"
"04/03/2021";"1800";"";"";"";"";"";"";"";"";"";""
